model,accuracy,precision,recall,f1_score,roc_auc,mse,rmse,mae,r2
XGBoost,0.6928205128205128,0.6025794236272856,0.6928205128205128,0.6330504016848714,0.6055780702479934,0.37025641025641026,0.6084869844593311,0.3282051282051282,-0.4045907841126306
Artificial Neural Network,0.7246153846153847,0.5959465587044536,0.7246153846153847,0.6282623477948616,0.620625228286634,0.28923076923076924,0.5378017936291857,0.28,-0.09721496155058684
Logistic Regression,0.7271794871794872,0.5890885802841846,0.7271794871794872,0.6265513168278342,0.6386003699717758,0.28974358974358977,0.5382783571197989,0.2784615384615385,-0.09916037814908085
Support Vector Machine,0.7323076923076923,0.5860238521168754,0.7323076923076923,0.6250714198823808,0.5500561344065108,0.2723076923076923,0.5218310955737424,0.2692307692307692,-0.03301621380028652
Random Forest,0.698974358974359,0.6034978483022007,0.698974358974359,0.6241778987995894,0.5883565974438947,0.3441025641025641,0.5866025606000745,0.3153846153846154,-0.3053745375894392
K-Nearest Neighbors,0.6497435897435897,0.5986095104274187,0.6497435897435897,0.6199568510939941,0.5572522720191426,0.42717948717948717,0.6535896932934968,0.3758974358974359,-0.620532026545459
Naive Bayes,0.6082051282051282,0.6069384830855419,0.6082051282051282,0.5945643434886375,0.5958707830784037,0.5241025641025641,0.7239492828248151,0.4358974358974359,-0.9882157636608151
Decision Tree,0.4897435897435897,0.598209530492521,0.48974358974358967,0.5302577163857815,0.5306298301211391,0.7117948717948718,0.8436793655144541,0.5774358974358974,-1.7002382387096002
