Symbol,Date,Adj Close,Close,High,Low,Open,Volume
NFLX,2018-01-02,0.061533572288570426,0.061533572288570426,0.0524701491005235,0.058432624789610366,0.056293144936519324,0.07427888705304987
NFLX,2018-01-03,0.06859128984450841,0.06859128984450841,0.060556104728235305,0.06929383704137204,0.06671454358896783,0.05631581136312938
NFLX,2018-01-04,0.0696198145354428,0.0696198145354428,0.06204561841994055,0.0737597974835223,0.07398327463583015,0.036943970781172605
NFLX,2018-01-05,0.07735142225357544,0.07735142225357544,0.06731215191199746,0.0766001554118253,0.0758223390908801,0.04453300162200789
NFLX,2018-01-08,0.08100441157236227,0.08100441157236227,0.07170976859538963,0.08169134759007063,0.08067399490701077,0.033545694117291205
NFLX,2018-01-09,0.07614556338675332,0.07614556338675332,0.07256092893974597,0.08195929431337595,0.08433461846244322,0.0376721729234329
NFLX,2018-01-10,0.08183787881673088,0.08183787881673088,0.07373126595777679,0.07895818198011945,0.07638281110472883,0.03635339355053367
NFLX,2018-01-11,0.0902078625096307,0.0902078625096307,0.08101926299038409,0.09046247999684348,0.08815289043137936,0.04926896217961563
NFLX,2018-01-12,0.09728330333624674,0.09728330333624674,0.08953079879027409,0.09519642123487321,0.0932147107250163,0.05335158249743843
NFLX,2018-01-16,0.09781530586390985,0.09781530586390985,0.09577261876766285,0.09734006316646376,0.10558027277485055,0.093555448850038
NFLX,2018-01-17,0.09066890430851021,0.09066890430851021,0.08704827597076537,0.0957680568117924,0.09990543099619698,0.060336424852639264
NFLX,2018-01-18,0.0956873633993287,0.0956873633993287,0.0860375442004902,0.0961789379837581,0.0987494428519991,0.0535474333332073
NFLX,2018-01-19,0.09591786738725067,0.09591786738725067,0.0911976741940434,0.09966238167702346,0.10297053842128023,0.07111578262825773
NFLX,2018-01-22,0.10854376983234837,0.10854376983234837,0.09882257054279686,0.10448562713196352,0.10165693527074399,0.12521825269294898
NFLX,2018-01-23,0.1488154378075719,0.1488154378075719,0.15187787124141733,0.1523964365811606,0.15954390266114127,0.20085145961805304
NFLX,2018-01-24,0.16833948072643357,0.16833948072643357,0.15897081774132565,0.15470086699027885,0.15224016090494397,0.12256481414965574
NFLX,2018-01-25,0.1832352132706439,0.1832352132706439,0.17774941177907022,0.17420819937416854,0.1734683098626838,0.10732020855467377
NFLX,2018-01-26,0.19192438495092734,0.19192438495092734,0.1818278517887879,0.18944603377859598,0.188338540730918,0.07469403033041322
NFLX,2018-01-29,0.20963967339259149,0.20963967339259149,0.20347910353327597,0.19866378948764318,0.19308509760471287,0.12390552276671445
NFLX,2018-01-30,0.19937225122303248,0.19937225122303248,0.1962443082499205,0.1964844054257439,0.1979893028920115,0.08574258848260974
NFLX,2018-01-31,0.18429921832597013,0.18429921832597013,0.19546407229728774,0.19091088188748973,0.20664169191524545,0.07978539587957065
NFLX,2018-02-01,0.1750248404829537,0.1750248404829537,0.17712878107419305,0.17983528499902446,0.17944094311367742,0.06446441602044713
NFLX,2018-02-02,0.17920983232940363,0.17920983232940363,0.17477038439565978,0.17863841768601013,0.1734683098626838,0.06034020575680468
NFLX,2018-02-05,0.1558554659158674,0.1558554659158674,0.16994718754008947,0.15598707259277772,0.17171683899530216,0.08130531935407033
NFLX,2018-02-06,0.17617749571470592,0.17617749571470592,0.16781928667919854,0.14700155554930133,0.14667041806862618,0.08659631664316204
NFLX,2018-02-07,0.17412044633283713,0.17412044633283713,0.1780154205253296,0.18153237177348902,0.179738701178852,0.05926567279299172
NFLX,2018-02-08,0.14847852654951021,0.14847852654951021,0.16945064915435093,0.15593347643360184,0.18061443661254278,0.06172477286218227
NFLX,2018-02-09,0.14736135168214975,0.14736135168214975,0.14849098632830038,0.13112060130733738,0.15744212425741716,0.11919602853826465
NFLX,2018-02-12,0.16239893803785604,0.16239893803785604,0.1544313522744864,0.15414708544222688,0.1544470716581693,0.05588856919243668
NFLX,2018-02-13,0.16296638710687528,0.16296638710687528,0.15843886789248052,0.1643294697987176,0.16346727357241325,0.04318699973911762
NFLX,2018-02-14,0.17667401787797726,0.17667401787797726,0.17345819859418182,0.17438684188056347,0.1690370498158964,0.07431745227553717
NFLX,2018-02-15,0.2019790264032425,0.2019790264032425,0.1922899605593415,0.18742743819422442,0.18578135584851557,0.07271208036689894
NFLX,2018-02-16,0.1988757290597612,0.1988757290597612,0.19487888687735394,0.20182569029842734,0.20101936620059435,0.05420606683882384
NFLX,2018-02-20,0.19892893269483108,0.19892893269483108,0.20170585845283967,0.2034691468411418,0.1992854006878802,0.05009698019184308
NFLX,2018-02-21,0.20334446235223858,0.20334446235223858,0.20317764950207323,0.20954285576827214,0.20686939515458458,0.06221175331868864
NFLX,2018-02-22,0.1982018727206022,0.1982018727206022,0.1993829408810866,0.1996105641062194,0.21003960152200368,0.05858511004321573
NFLX,2018-02-23,0.2120159107618439,0.2120159107618439,0.20204279159082267,0.20561282284530658,0.20499528658303423,0.04656410333967265
NFLX,2018-02-26,0.22661017858934873,0.22661017858934873,0.21915454404663465,0.22204755863532244,0.21856938624823435,0.06899847629562134
NFLX,2018-02-27,0.22031496754899582,0.22031496754899582,0.22218677317929697,0.22844281044493397,0.22911338919768615,0.06255505941690896
NFLX,2018-02-28,0.2216804034979919,0.2216804034979919,0.21933187193686193,0.2287822073562824,0.22618839142427366,0.04922359132963057
NFLX,2018-03-01,0.21992481883282855,0.21992481883282855,0.2184452324857254,0.21636684277871654,0.22557536993925703,0.08157754445398073
NFLX,2018-03-02,0.23882820904760116,0.23882820904760116,0.22896054300553087,0.21529502181292126,0.21138824878904033,0.09226389198712981
NFLX,2018-03-05,0.26356576850384716,0.26356576850384716,0.2568535809055709,0.2409653673408516,0.24326549963856786,0.13491854041975596
NFLX,2018-03-06,0.28168889510932094,0.28168889510932094,0.27259991198881633,0.27472801738028374,0.2730935215555392,0.13143784004506837
NFLX,2018-03-07,0.27448932374188706,0.27448932374188706,0.2689648086155853,0.2712445736870184,0.2733036860330454,0.12089970395520384
NFLX,2018-03-08,0.26711238437552987,0.26711238437552987,0.2675107402088234,0.2704942956037043,0.277157002118482,0.07710095392212094
NFLX,2018-03-09,0.2927188576175006,0.2927188576175006,0.28261875176655676,0.2813912159132005,0.2756331676761086,0.10099702442842182
NFLX,2018-03-12,0.27473758482352273,0.27473758482352273,0.2871227381266159,0.2784794418694285,0.2970539757566873,0.14537727752214663
NFLX,2018-03-13,0.265126261899409,0.265126261899409,0.2726885928448484,0.2689758513356346,0.28008199989189436,0.08902668184069538
NFLX,2018-03-14,0.2751808695286885,0.2751808695286885,0.2692130608975362,0.2768716933844485,0.2700809301944584,0.07055998971594067
NFLX,2018-03-15,0.2743651932010692,0.2743651932010692,0.2683619005531798,0.27765767952549714,0.2788559569218611,0.034019819499635146
NFLX,2018-03-16,0.26968364536831235,0.26968364536831235,0.26962088460540584,0.2780685606974628,0.275790782682447,0.046805325025426586
NFLX,2018-03-19,0.26087034314721114,0.26087034314721114,0.2570131861533265,0.258364731778311,0.26594739480568014,0.06640175131480942
NFLX,2018-03-20,0.26799902143193266,0.26799902143193266,0.2614462819434988,0.2681184150065429,0.2614985959970599,0.03665889060709979
NFLX,2018-03-21,0.26619026695473524,0.26619026695473524,0.2612689540532715,0.27117312349897527,0.26691072382703934,0.03115389414224518
NFLX,2018-03-22,0.2488473701355245,0.2488473701355245,0.25190625790902516,0.2553636194450545,0.2611657938153849,0.05232242038361054
NFLX,2018-03-23,0.23863315160103538,0.23863315160103538,0.2434833691433304,0.24589577104156923,0.25125231770561723,0.0634125684816267
NFLX,2018-03-26,0.27305292706410744,0.27305292706410744,0.2641593344024867,0.24882546725935684,0.2546677660742083,0.08200251808217417
NFLX,2018-03-27,0.23818983307283392,0.23818983307283392,0.26747529492388006,0.23989354637505622,0.2776649246611628,0.08260973129114096
NFLX,2018-03-28,0.2117321693158165,0.2117321693158165,0.22474022039052927,0.21240106772544232,0.23545383533968972,0.13481872454978883
NFLX,2018-03-29,0.22872039778325182,0.22872039778325182,0.21862256037595268,0.20220082934008438,0.2155042788231511,0.13612389266769254
NFLX,2018-04-02,0.20201447294459862,0.20201447294459862,0.21422494369256057,0.20068238507201475,0.22415666784638505,0.09272138139114589
NFLX,2018-04-03,0.20800825309128168,0.20800825309128168,0.21135228598581707,0.20597010785809639,0.21278944552724488,0.08734569184874871
NFLX,2018-04-04,0.21735352401701036,0.21735352401701036,0.20968544440388454,0.19384054403270307,0.19208675787401874,0.08900248405403668
NFLX,2018-04-05,0.22627323350825146,0.22627323350825146,0.2253786075597149,0.22579894905189313,0.22627598501194207,0.07192187139632572
NFLX,2018-04-06,0.2171939469348364,0.2171939469348364,0.22482890124656124,0.21961808187898524,0.21918240773325098,0.07789267525436033
NFLX,2018-04-09,0.2191091086821737,0.2191091086821737,0.2260701626563157,0.22581683715333456,0.22385890978121042,0.06586032583832098
NFLX,2018-04-10,0.23354376560446888,0.23354376560446888,0.22500622913678864,0.23040784394270375,0.2342102536078235,0.0719619489804792
NFLX,2018-04-11,0.2434742765159662,0.2434742765159662,0.24750860740379627,0.24850389030430142,0.2433180491097357,0.10384933853081627
NFLX,2018-04-12,0.2533692732400361,0.2533692732400361,0.24660427913202482,0.25731076484138293,0.25529829291389255,0.06885328957566912
NFLX,2018-04-13,0.2576252258152696,0.2576252258152696,0.2578820691401546,0.2599546262344238,0.2685571291592505,0.08244337150786239
NFLX,2018-04-16,0.2507625318828618,0.2507625318828618,0.2554172689631175,0.25239821516953254,0.2662801969873551,0.14491373867146587
NFLX,2018-04-17,0.30091147331147705,0.30091147331147705,0.29535057635961165,0.2877150175347688,0.29022314583383574,0.24744127310605055
NFLX,2018-04-18,0.2981806014134849,0.2981806014134849,0.2957052321400662,0.30080924408017984,0.3018531155088155,0.07620109873075047
NFLX,2018-04-19,0.2949532073522215,0.2949532073522215,0.2894811348051492,0.2930741564363194,0.295862943495989,0.05516187941184256
NFLX,2018-04-20,0.28621083203686815,0.28621083203686815,0.29160906948787685,0.29169864661691025,0.29470698875895646,0.06060562522921732
NFLX,2018-04-23,0.27010924062583574,0.27010924062583574,0.2822286507011588,0.27576413028834457,0.28932990504547745,0.05916358838052532
NFLX,2018-04-24,0.24941481920454378,0.24941481920454378,0.2627762242092852,0.2493792488074088,0.27193753341134125,0.09640700677159936
NFLX,2018-04-25,0.24718046946982286,0.24718046946982286,0.24456502530532914,0.23206915451428556,0.24943075860523473,0.10416920302321098
NFLX,2018-04-26,0.26175701402664964,0.26175701402664964,0.2563570763416691,0.25522071906896826,0.2557887101019058,0.061422300528948495
