Symbol,Date,Adj Close,Close,High,Low,Open,Volume,RSI,MACD,MACD_SIGNAL,MACD_DIFF,EMA_12,EMA_26,SMA_20,SMA_50,BB_UPPER,BB_MIDDLE,BB_LOWER,BB_WIDTH,ATR,ADX,CCI,MOMENTUM_10,ROC,OBV,VWAP,DAILY_RETURN,LOG_RETURN,Close_LAG_1,Close_LAG_2,Close_LAG_3,Close_LAG_5,Close_LAG_10,Volume_LAG_1,Volume_LAG_2,Volume_LAG_3,Volume_LAG_5,Volume_LAG_10,RSI_LAG_1,RSI_LAG_2,RSI_LAG_3,RSI_LAG_5,RSI_LAG_10,MACD_LAG_1,MACD_LAG_2,MACD_LAG_3,MACD_LAG_5,MACD_LAG_10,CLOSE_ROLLING_MEAN_5,CLOSE_ROLLING_STD_5,CLOSE_ROLLING_MEAN_10,CLOSE_ROLLING_STD_10,CLOSE_ROLLING_MEAN_20,CLOSE_ROLLING_STD_20,TARGET
META,2018-03-14,182.58660888671875,184.19000244140625,184.25,181.8500061035156,182.6000061035156,16821700,54.102560815306575,0.5594503387611951,-0.10088450860585638,0.6603348473670515,182.10218768252906,181.54273734376787,180.63000030517577,182.48379943847655,186.61517973157729,180.63000030517577,174.64482087877425,11.970358852803031,4.182288119348916,11.52631599611179,76.88604214295147,5.8699951171875,-0.4001461437747142,12962600.0,181.3720970778271,0.012700668004061777,0.01262069098268611,181.8800048828125,184.75999450683597,185.22999572753903,183.7100067138672,178.32000732421875,18067500.0,15301200.0,18526300.0,19097300.0,18783000.0,50.83383685462279,55.40163715717745,56.16644893006911,54.467316421836586,46.341699113246726,0.3916288631400562,0.40693096584934096,0.1273077102671607,-0.49996150532462025,-0.7876051793292902,183.67999877929688,1.488671355335423,181.48499908447266,3.272865895697282,180.63000030517577,3.070332262416693,HOLD
META,2018-03-15,182.2594757080078,183.8600006103516,184.0,182.19000244140625,183.2400054931641,15614300,53.55478891170245,0.6582339660297123,0.050939186321257365,0.6072947797084549,182.37262044065562,181.7143864746259,180.8470001220703,182.53259948730468,186.9686158597534,180.8470001220703,174.7253843843872,12.243231475366201,4.02641039653828,11.026448040369958,67.31400560036191,7.919998168945341,1.322602120404857,-2651700.0,181.44382637283192,-0.0017916381273713755,-0.0017932450305739663,184.19000244140625,181.8800048828125,184.75999450683597,182.33999633789065,175.94000244140625,16821700.0,18067500.0,15301200.0,17225900.0,23201600.0,54.102560815306575,50.83383685462279,55.40163715717745,52.41577745430233,43.55128868719753,0.5594503387611951,0.3916288631400562,0.40693096584934096,-0.2792996632968823,-1.069161354582718,183.98399963378907,1.2883401273861117,182.2769989013672,2.687953949623397,180.8470001220703,3.140322613323329,HOLD
META,2018-03-16,183.4787750244141,185.08999633789065,185.3300018310547,183.41000366210935,184.4900054931641,24403400,55.368609330498415,0.8262466213169262,0.20600067332039113,0.620245947996535,182.79067827099948,181.96443164968255,181.10349960327147,182.5409994506836,187.47956917791365,181.10349960327147,174.7274300286293,12.752139149284346,3.8759523802816416,10.316129943809866,90.32553103028634,8.470001220703153,3.796539219159414,21751700.0,181.52903316786967,0.006689849469465381,0.006667571727802271,183.8600006103516,184.19000244140625,181.8800048828125,185.22999572753903,176.6199951171875,15614300.0,16821700.0,18067500.0,18526300.0,20025900.0,53.55478891170245,54.102560815306575,50.83383685462279,56.16644893006911,44.57809528463072,0.6582339660297123,0.5594503387611951,0.3916288631400562,0.1273077102671607,-1.2233251946239818,183.95599975585938,1.2555958359834685,183.1239990234375,1.9368656987071795,181.10349960327147,3.2708546774858314,SELL
META,2018-03-19,171.05784606933594,172.55999755859375,177.1699981689453,170.05999755859375,177.00999450683594,88140100,38.761714558919365,-0.05107951002665345,0.15458463665098224,-0.2056641466776357,181.21672739216783,181.26780690219448,180.8634994506836,182.30559936523437,188.0897980483886,180.8634994506836,173.63720085297862,14.452597195409965,4.672669980211303,12.152903825527458,-175.68137284081155,-7.839996337890653,-1.9211122177505664,-66388400.0,179.24848404451333,-0.06769679089745506,-0.07009718555032265,185.08999633789065,183.8600006103516,184.19000244140625,184.75999450683597,180.3999938964844,24403400.0,15614300.0,16821700.0,15301200.0,16189300.0,55.368609330498415,53.55478891170245,54.102560815306575,55.40163715717745,50.02058814393621,0.8262466213169262,0.6582339660297123,0.5594503387611951,0.40693096584934096,-1.0286294379645824,181.51600036621093,5.141997593990576,182.33999938964843,3.8267248452777918,180.8634994506836,3.7070129634743023,SELL
META,2018-03-20,166.68621826171875,168.14999389648438,170.1999969482422,161.9499969482422,167.47000122070312,129851800,34.80496449538023,-1.0896563493954545,-0.09426356055830512,-0.9953927888371494,179.20646070052422,180.29611704991967,180.47049942016602,181.93159912109374,189.3708891854845,180.47049942016602,171.57010965484756,17.80077953063693,5.096765025221322,14.743443090747743,-265.8701998019087,-11.6300048828125,-4.79560721031799,-196240200.0,175.52146092674383,-0.025556349817471014,-0.025888586044505408,172.55999755859375,185.08999633789065,183.8600006103516,181.8800048828125,179.77999877929688,88140100.0,24403400.0,15614300.0,18067500.0,15086800.0,38.761714558919365,55.368609330498415,53.55478891170245,50.83383685462279,49.167727933248656,-0.05107951002665345,0.8262466213169262,0.6582339660297123,0.3916288631400562,-0.9138260546256731,178.7699981689453,7.851362084857469,181.1769989013672,5.89794087219147,180.47049942016602,4.565803612168506,HOLD
META,2018-03-21,167.91543579101562,169.38999938964844,173.39999389648438,163.3000030517578,164.8000030517578,106598800,36.75974759614405,-1.7920205990257614,-0.4338149682517964,-1.358205630773965,177.69623588346641,179.48825648249218,180.04449920654298,181.55379913330077,190.13089111477325,180.04449920654298,169.9581072983127,20.172783816460537,5.454138298043126,16.34279498729424,-186.2349334093248,-14.32000732421875,-6.103101374356823,-89641400.0,174.06696413354476,0.007374401059612401,0.007347343106821102,168.14999389648438,172.55999755859375,185.08999633789065,184.19000244140625,183.7100067138672,129851800.0,88140100.0,24403400.0,16821700.0,19097300.0,34.80496449538023,38.761714558919365,55.368609330498415,54.102560815306575,54.467316421836586,-1.0896563493954545,-0.05107951002665345,0.8262466213169262,0.5594503387611951,-0.49996150532462025,175.80999755859375,8.083555205939094,179.7449981689453,6.8725082492275495,180.04449920654298,5.174209874245561,SELL
META,2018-03-22,163.4546356201172,164.88999938964844,170.27000427246094,163.72000122070312,166.1300048828125,73743000,32.904017977798546,-2.6808584515962366,-0.8832236649206845,-1.7976347866755522,175.72604565364827,178.4069041052445,179.3394989013672,181.09419921875,191.4000370961146,179.3394989013672,167.27896070661978,24.121076389494817,5.532414351879889,17.827907462658846,-179.48293946453876,-17.449996948242216,-8.282344805179264,-163384400.0,173.01693564196478,-0.026565913077599257,-0.026925163783749092,169.38999938964844,168.14999389648438,172.55999755859375,183.8600006103516,182.33999633789065,106598800.0,129851800.0,88140100.0,15614300.0,17225900.0,36.75974759614405,34.80496449538023,38.761714558919365,53.55478891170245,52.41577745430233,-1.7920205990257614,-1.0896563493954545,-0.05107951002665345,0.6582339660297123,-0.2792996632968823,172.01599731445313,7.807801878307785,177.9999984741211,8.223064180219124,179.3394989013672,6.186925551153509,SELL
META,2018-03-23,158.0025177001953,159.38999938964844,166.60000610351562,159.02000427246094,165.44000244140625,53609700,28.912367020249775,-3.7854367298027682,-1.4636662778971012,-2.321770451905667,173.21280776687905,176.99824449668182,178.14449920654297,180.52519927978517,192.84891043043228,178.14449920654297,163.44008798265367,29.40882244777862,5.678670600392374,19.721878265592334,-188.84605952492123,-25.839996337890597,-13.238259449904518,-216994100.0,171.86098771017404,-0.0333555705037214,-0.033924555909643675,164.88999938964844,169.38999938964844,168.14999389648438,185.08999633789065,185.22999572753903,73743000.0,106598800.0,129851800.0,24403400.0,18526300.0,32.904017977798546,36.75974759614405,34.80496449538023,55.368609330498415,56.16644893006911,-2.6808584515962366,-1.7920205990257614,-1.0896563493954545,0.8262466213169262,0.1273077102671607,166.8759979248047,5.005883667945804,175.41599884033204,9.637068048676838,178.14449920654297,7.5432037979342,HOLD
META,2018-03-26,158.66665649414062,160.05999755859375,161.10000610351562,149.02000427246094,160.82000732421875,126116600,30.025984479329495,-4.554261034239005,-2.081785229165482,-2.4724758050735227,171.18929850406593,175.74355953830494,176.9009994506836,179.97099914550782,193.2177331470051,176.9009994506836,160.5842657543621,32.63346739264301,6.1359085454396824,22.307791539619977,-194.86469950141145,-24.699996948242216,-12.218931242057435,-90877500.0,169.04281927230355,0.004203514470863423,0.0041947043841656555,159.38999938964844,164.88999938964844,169.38999938964844,172.55999755859375,184.75999450683597,53609700.0,73743000.0,106598800.0,88140100.0,15301200.0,28.912367020249775,32.904017977798546,36.75974759614405,38.761714558919365,55.40163715717745,-3.7854367298027682,-2.6808584515962366,-1.7920205990257614,-0.05107951002665345,0.40693096584934096,164.3759979248047,4.558933382472865,172.9459991455078,10.128865575386472,176.9009994506836,8.370307774582114,SELL
META,2018-03-27,150.89491271972656,152.22000122070312,162.85000610351562,150.75,156.30999755859375,79117000,25.07577793486375,-5.730128661144818,-2.8114539155613496,-2.918674745583468,168.27094507585628,174.0010737370011,175.4389991760254,179.42799926757812,194.81319450343906,175.4389991760254,156.06480384861172,38.74839065482735,6.561915513873679,24.28871528471253,-169.25109179585468,-29.660003662109375,-17.821084742339146,-169994500.0,167.33902962684982,-0.0489816097555581,-0.05022187882725065,160.05999755859375,159.38999938964844,164.88999938964844,168.14999389648438,181.8800048828125,126116600.0,53609700.0,73743000.0,129851800.0,18067500.0,30.025984479329495,28.912367020249775,32.904017977798546,34.80496449538023,50.83383685462279,-4.554261034239005,-3.7854367298027682,-2.6808584515962366,-1.0896563493954545,0.3916288631400562,161.18999938964845,6.440259530661197,169.97999877929686,11.475211013985406,175.4389991760254,9.938752497497891,HOLD
